Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/23  10:00:00,0.8525735391,1.027828657,0,0.06923955777,0.00185392187,0.00185392187,0.00185392187,0.07848036474,0.01715689629,0.4234459809,0.3109363752
08/23  11:00:00,0.8675014492,0.8230346688,0,0,0,0,0,0.07848036474,0.01715689629,0.4401325506,0.3110316376
08/23  12:00:00,0.8509057166,0.7154239754,0,0,0,0,0,0.07848036474,0.01715689629,0.4287762483,0.3057922073
08/23  13:00:00,0.8252124658,0.6549283125,0,0,0,0,0,0.07848036474,0.01715689629,0.3925088745,0.3163663303
08/23  14:00:00,0.8138103911,0.6027997625,0,0,0,0,0,0.07848036474,0.01715689629,0.3632927366,0.3341803935
08/23  15:00:00,0.8407239808,0.6140523898,0,0,0,0,0,0.07848036474,0.01715689629,0.3716301641,0.3527565556
08/23  16:00:00,0.9611938752,0.6901456724,0,0,0,0,0,0.08338538755,0.01822920246,0.4216301052,0.41724918
08/23  17:00:00,1.172444064,0.8429437886,0,0,0,0,0,0.1079105016,0.02359073329,0.5133517587,0.50689107
08/23  18:00:00,1.29283788,0.9853111866,0,0,0,0,0,0.1814858114,0.03967532104,0.470646037,0.5503307107
08/23  19:00:00,1.40988022,1.017138438,0,0,0,0,0,0.3531616617,0.077206025,0.390763022,0.5680495115
08/23  20:00:00,1.694889442,0.9526761397,0,0,0,0,0,0.6033177298,0.1318936419,0.3513997732,0.5875782973
08/23  21:00:00,1.872570622,0.8673479511,0,0,0,0,0,0.77499358,0.1694243458,0.3335921806,0.5738605161
08/23  22:00:00,1.496233633,0.7205681186,0,0,0,0,0,0.57879267,0.1265321229,0.2736061058,0.4966027341
08/23  23:00:00,1.133473638,0.5611726816,0,0,0,0,0,0.4022118898,0.08792908667,0.1910941259,0.4315385355
08/23  24:00:00,0.7618717898,0.3890025845,0,0,0,0,0,0.2060109798,0.04503686375,0.1331758464,0.3569480999
08/24  01:00:00,0.6147285911,0.3138128848,0,0,0,0,0,0.122625516,0.02680764229,0.1159402568,0.328655176
08/24  02:00:00,0.5488809378,0.2939951381,0,0,0,0,0,0.08338538755,0.01822920246,0.1017216665,0.3248446812
08/24  03:00:00,0.5350345827,0.3031366831,0,0,0,0,0,0.08338538755,0.01822920246,0.09244790524,0.3202720875
08/24  04:00:00,0.5474787664,0.8842441986,0,0.5182209644,0.01387561115,0.01387561115,0.01387561115,0.08338538755,0.01822920246,0.1031147988,0.3081737665
08/24  05:00:00,0.619551765,1.775683802,0,1.135743761,0.03041007576,0.03041007576,0.03041007576,0.08829041036,0.01930150863,0.1169526151,0.3438971552
08/24  06:00:00,0.8242732219,3.25831972,0,2.109829056,0.05649166972,0.05649166972,0.05649166972,0.1422456507,0.03109687646,0.1763996804,0.3973393447
08/24  07:00:00,1.079680364,2.458432513,0,1.171603651,0.03137024126,0.03137024126,0.03137024126,0.2501561743,0.05468761688,0.2630635087,0.4222028232
08/24  08:00:00,0.9590693953,1.541824367,0,0.3045603005,0.008154745929,0.008154745929,0.008154745929,0.1962009125,0.04289224667,0.3341733904,0.3569480999
08/24  09:00:00,0.8495934287,1.103306305,0,0,0,0,0,0.09810045598,0.02144612096,0.4055551543,0.3037916975
08/24  10:00:00,0.8507196172,0.9486105449,0,0,0,0,0,0.07848036474,0.01715689629,0.4234459809,0.3109363752
08/24  11:00:00,0.8675014492,0.813716889,0,0,0,0,0,0.07848036474,0.01715689629,0.4401325506,0.3110316376
08/24  12:00:00,0.8509057166,0.711097299,0,0,0,0,0,0.07848036474,0.01715689629,0.4287762483,0.3057922073
08/24  13:00:00,0.8252124658,0.6508210428,0,0,0,0,0,0.07848036474,0.01715689629,0.3925088745,0.3163663303
08/24  14:00:00,0.8138103911,0.595473451,0,0,0,0,0,0.07848036474,0.01715689629,0.3632927366,0.3341803935
08/24  15:00:00,0.8407239808,0.6052461983,0,0,0,0,0,0.07848036474,0.01715689629,0.3716301641,0.3527565556
08/24  16:00:00,0.9611938752,0.6813113565,0,0,0,0,0,0.08338538755,0.01822920246,0.4216301052,0.41724918
08/24  17:00:00,1.172444064,0.8355148064,0,0,0,0,0,0.1079105016,0.02359073329,0.5133517587,0.50689107
08/24  18:00:00,1.29283788,0.9811796021,0,0,0,0,0,0.1814858114,0.03967532104,0.470646037,0.5503307107
08/24  19:00:00,1.40988022,1.01631356,0,0,0,0,0,0.3531616617,0.077206025,0.390763022,0.5680495115
08/24  20:00:00,1.694889442,0.9545693162,0,0,0,0,0,0.6033177298,0.1318936419,0.3513997732,0.5875782973
08/24  21:00:00,1.872570622,0.8689292324,0,0,0,0,0,0.77499358,0.1694243458,0.3335921806,0.5738605161
08/24  22:00:00,1.496233633,0.7208263539,0,0,0,0,0,0.57879267,0.1265321229,0.2736061058,0.4966027341
08/24  23:00:00,1.133473638,0.5590361741,0,0,0,0,0,0.4022118898,0.08792908667,0.1910941259,0.4315385355
08/24  24:00:00,0.7618717898,0.3886302275,0,0,0,0,0,0.2060109798,0.04503686375,0.1331758464,0.3569480999
08/25  01:00:00,0.6147285911,0.310917853,0,0,0,0,0,0.122625516,0.02680764229,0.1159402568,0.328655176
08/25  02:00:00,0.5488809378,0.2912953331,0,0,0,0,0,0.08338538755,0.01822920246,0.1017216665,0.3248446812
