Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/12 17:00:00,1.45920096,1.816851214,0,1.071942739,0,0.02973392962,0.02973392962,0.02973392962,0.3957419075,0.08568735963,0.4764688903,0.451342873
11/12 18:00:00,2.062917495,2.908145606,0,2.019838349,0,0.0560269958,0.0560269958,0.0560269958,0.7026437746,0.1521387588,0.5835725079,0.5483094582
11/12 19:00:00,2.389873269,2.683323033,0,1.658328513,0,0.04599930717,0.04599930717,0.04599930717,0.9610874365,0.2080978508,0.5291640951,0.5952985792
11/12 20:00:00,2.297820696,3.270123568,0,2.210277525,0,0.06130946551,0.06130946551,0.06130946551,0.9610874365,0.2080978508,0.4326347491,0.6144651944
11/12 21:00:00,2.210772942,4.14121847,0,3.143452715,0,0.08719421142,0.08719421142,0.08719421142,0.8884001262,0.1923593562,0.3870035587,0.6355896896
11/12 22:00:00,2.01477141,4.255674372,0,3.349035424,0,0.09289673784,0.09289673784,0.09289673784,0.7511019798,0.1626310886,0.3671645844,0.6207510198
11/12 23:00:00,1.628450807,4.24770724,0,3.48164542,0,0.09657512118,0.09657512118,0.09657512118,0.5572692607,0.1206617921,0.2965381771,0.5371804559
12/12 1086528:00:00,1.264114889,4.462056659,0,3.853234889,0,0.1068824023,0.1068824023,0.1068824023,0.38766554,0.083938638,0.1986024884,0.4667998207
11/13  01:00:00,0.9083939688,5.27688955,0,4.84720077,0,0.134453382,0.134453382,0.134453382,0.2019090867,0.04371804063,0.1219729058,0.3861145536
11/13  02:00:00,0.7648835373,5.293079622,0,4.929841422,0,0.1367456979,0.1367456979,0.1367456979,0.121145513,0.02623082438,0.1050257048,0.3555097972
11/13  03:00:00,0.7392606133,6.815800197,0,6.466502699,0,0.1793701559,0.1793701559,0.1793701559,0.08076365526,0.01748721399,0.09002564373,0.3513879445
11/13  04:00:00,0.7089163205,6.226660252,0,5.871541801,0,0.1628669185,0.1628669185,0.1628669185,0.08076365526,0.01748721399,0.08113081157,0.3464417212
11/13  05:00:00,0.715324277,6.551646939,0,6.144459851,0,0.1704372166,0.1704372166,0.1704372166,0.08076365526,0.01748721399,0.09305535229,0.3333548388
11/13  06:00:00,0.8179899914,8.201683434,0,7.561160465,0,0.209734163,0.209734163,0.209734163,0.08884002279,0.01923593562,0.1079566619,0.3719972081
11/13  07:00:00,1.045601203,9.638894523,0,8.569424652,0,0.2377017543,0.2377017543,0.2377017543,0.1534509832,0.03322571088,0.1711905619,0.4298061925
11/13  08:00:00,1.318200865,7.592215005,0,6.407438393,0,0.1777318091,0.1777318091,0.1777318091,0.2988254971,0.06470270013,0.262513577,0.4567012815
11/13  09:00:00,1.207790732,5.224410114,0,4.086224579,0,0.1133451533,0.1133451533,0.1133451533,0.2907491295,0.0629539785,0.3344019166,0.3861145536
11/13  10:00:00,1.024584049,3.648782217,0,2.631998332,0,0.0730073075,0.0730073075,0.0730073075,0.1615273507,0.0349744325,0.4062342505,0.3286147082
11/13  11:00:00,0.9943189867,2.609963545,0,1.724227611,0,0.04782723982,0.04782723982,0.04782723982,0.1372982481,0.02972826763,0.4228960491,0.336343182
11/13  12:00:00,0.9930739013,1.774849558,0,0.9972667039,0,0.02766253916,0.02766253916,0.02766253916,0.1372982481,0.02972826763,0.441712618,0.3364462284
11/13  13:00:00,0.9498535472,0.6960890676,0,0,0,0,0,0,0.1372982481,0.02972826763,0.4318223506,0.3307786809
11/13  14:00:00,0.9218278095,0.6533488958,0,0,0,0,0,0,0.1372982481,0.02972826763,0.3923584717,0.3422168222
11/13  15:00:00,0.9310806008,0.6144894632,0,0,0,0,0,0,0.1534509832,0.03322571088,0.3626914231,0.3614864836
11/13  16:00:00,1.041760088,0.6260522992,0,0,0,0,0,0,0.2180618217,0.04721548388,0.3746762665,0.3815805157
11/13  17:00:00,1.387886116,0.7068538699,0,0.01165624015,0,0.0003233249424,0.0003233249424,0.0003233249424,0.3957419075,0.08568735963,0.4345646514,0.451342873
11/13  18:00:00,1.992477234,1.799763439,0,0.9672762546,0,0.02683065339,0.02683065339,0.02683065339,0.7026437746,0.1521387588,0.5423285894,0.5483094582
11/13  19:00:00,2.339257119,2.231174532,0,1.276638695,0,0.035411859,0.035411859,0.035411859,0.9610874365,0.2080978508,0.4891353938,0.5952985792
11/13  20:00:00,2.252119627,2.984321244,0,2.003024566,0,0.05556060909,0.05556060909,0.05556060909,0.9610874365,0.2080978508,0.392682536,0.6144651944
11/13  21:00:00,2.175398797,4.257868271,0,3.334179725,0,0.09248466517,0.09248466517,0.09248466517,0.8884001262,0.1923593562,0.3463389602,0.6355896896
11/13  22:00:00,1.989709628,4.790130614,0,3.943142388,0,0.1093762885,0.1093762885,0.1093762885,0.7511019798,0.1626310886,0.3256232509,0.6207510198
11/13  23:00:00,1.626800558,5.333037969,0,4.612155753,0,0.1279336196,0.1279336196,0.1279336196,0.5572692607,0.1206617921,0.2635294299,0.5371804559
11/13  24:00:00,1.311793726,6.812634576,0,6.225503168,0,0.172685225,0.172685225,0.172685225,0.38766554,0.083938638,0.1804785022,0.4667998207
11/14  01:00:00,1.001149218,8.636564993,0,8.191135358,0,0.2272086311,0.2272086311,0.2272086311,0.2019090867,0.04371804063,0.1219729058,0.3861145536
11/14  02:00:00,0.8764133234,9.332975217,0,8.950619904,0,0.248275484,0.248275484,0.248275484,0.121145513,0.02623082438,0.1050257048,0.3555097972
11/14  03:00:00,0.8154685147,9.580831565,0,9.21388616,0,0.2555780572,0.2555780572,0.2555780572,0.08076365526,0.01748721399,0.09002564373,0.3513879445
11/14  04:00:00,0.7828472269,8.909989477,0,8.536836946,0,0.2367978249,0.2367978249,0.2367978249,0.08076365526,0.01748721399,0.08113081157,0.3464417212
11/14  05:00:00,0.8034330861,9.744871974,0,9.320884876,0,0.2585460257,0.2585460257,0.2585460257,0.08076365526,0.01748721399,0.09305535229,0.3333548388
11/14  06:00:00,0.8757985327,10.30163628,0,9.645225601,0,0.2675427043,0.2675427043,0.2675427043,0.08884002279,0.01923593562,0.1079566619,0.3719972081
11/14  07:00:00,1.07329494,10.65228745,0,9.567816074,0,0.2653954913,0.2653954913,0.2653954913,0.1534509832,0.03322571088,0.1711905619,0.4298061925
11/14  08:00:00,1.366650317,9.354044371,0,8.154097481,0,0.2261812612,0.2261812612,0.2261812612,0.2988254971,0.06470270013,0.262513577,0.4567012815
11/14  09:00:00,1.278244445,7.780701842,0,6.626162863,0,0.1837988664,0.1837988664,0.1837988664,0.2907491295,0.0629539785,0.3344019166,0.3861145536
11/14  10:00:00,1.100868582,6.421646079,0,5.382144423,0,0.1492918397,0.1492918397,0.1492918397,0.1615273507,0.0349744325,0.4062342505,0.3286147082
11/14  11:00:00,1.047552445,4.552252788,0,3.643355693,0,0.1010606983,0.1010606983,0.1010606983,0.1372982481,0.02972826763,0.4228960491,0.336343182
11/14  12:00:00,1.021714233,2.82378961,0,2.029783967,0,0.05630287088,0.05630287088,0.05630287088,0.1372982481,0.02972826763,0.441712618,0.3364462284
11/14  13:00:00,0.9727268942,1.533395323,0,0.8246107567,0,0.02287334698,0.02287334698,0.02287334698,0.1372982481,0.02972826763,0.4318223506,0.3307786809
11/14  14:00:00,0.9221639585,0.6749738347,0,0.01211856078,0,0.0003361489567,0.0003361489567,0.0003361489567,0.1372982481,0.02972826763,0.3923584717,0.3422168222
11/14  15:00:00,0.9310806008,0.6200880734,0,0,0,0,0,0,0.1534509832,0.03322571088,0.3626914231,0.3614864836
11/14  16:00:00,1.041760088,0.6322172135,0,0,0,0,0,0,0.2180618217,0.04721548388,0.3746762665,0.3815805157
11/14  17:00:00,1.417697236,1.786448769,0,1.086381759,0,0.0301344443,0.0301344443,0.0301344443,0.3957419075,0.08568735963,0.4345646514,0.451342873
11/14  18:00:00,2.014728097,2.606443831,0,1.769445707,0,0.04908151549,0.04908151549,0.04908151549,0.7026437746,0.1521387588,0.5423285894,0.5483094582
11/14  19:00:00,2.352114742,2.698240498,0,1.740170946,0,0.04826948171,0.04826948171,0.04826948171,0.9610874365,0.2080978508,0.4891353938,0.5952985792
11/14  20:00:00,2.287051063,4.248704448,0,3.262343475,0,0.09049204569,0.09049204569,0.09049204569,0.9610874365,0.2080978508,0.392682536,0.6144651944
11/14  21:00:00,2.176052807,4.283104654,0,3.357757546,0,0.09313867518,0.09313867518,0.09313867518,0.8884001262,0.1923593562,0.3463389602,0.6355896896
11/14  22:00:00,1.997674011,5.079648391,0,4.230267675,0,0.117340672,0.117340672,0.117340672,0.7511019798,0.1626310886,0.3256232509,0.6207510198
